ประเภทสัตว์,size,น้ำหนัก (กก.),อายุ (ปี),อายุ (เดือน),ชื่อของผลิตภัณฑ์,ชนิดของอาหาร,ประเภทอาหาร,ปริมาณอาหาร (กก.),งบประมาณ (บาท),ปริมาณที่กิน (g)/วัน,ปริมาณที่กิน (g)/ครั้ง,ความถี่,สัดส่วนของสารอาหารต่อ 100 กรัม (Protein),สัดส่วนของสารอาหารต่อ 100 กรัม (Fat),สัดส่วนของสารอาหารต่อ 100 กรัม (Fiber),สัดส่วนของสารอาหารต่อ 100 กรัม (Calcium),สัดส่วนของสารอาหารต่อ 100 กรัม (Ash),สัดส่วนของสารอาหารต่อ 100 กรัม (Phosphorus),สัดส่วนของสารอาหารต่อ 100 กรัม (Omega-6 fatty acids),สัดส่วนของสารอาหารต่อ 100 กรัม (Moisture)
หมา,เล็ก,1,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,50,16.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,55,18.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,5,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,60,20,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,64,21.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,67,22.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,71,23.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,75,25,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,79,26.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,55,18.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,72,24,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
